"month","avg_temp","total_precip"
2022-02-01,30.05,0
2022-03-01,25.1714285714286,0
2022-04-01,25.6833333333333,0
2022-05-01,26.5761904761905,0
2022-06-01,23.39375,0
2022-07-01,22.0962962962963,0
2022-08-01,23.6573529411765,0
2022-09-01,24.9739583333333,0
2022-10-01,26.7984848484848,0
2022-11-01,25.7409090909091,17
2022-12-01,25.4802083333333,88.5
2023-01-01,24.997,236.2
2023-02-01,26.7746376811594,94.9
2023-03-01,27.0060897435897,105.9
2023-04-01,26.8996376811594,141.8
2023-05-01,26.4119565217391,17
2023-06-01,24.0979166666667,0.9
2023-07-01,23.780303030303,0
2023-08-01,24.9744444444444,0
2023-09-01,25.75125,0
2023-10-01,27.2949275362319,47
2023-11-01,25.9392156862745,165.1
2023-12-01,27.2566666666667,53
